source plate well,destination plate well,volume sample (痞),volume diluent (痞)
A1,A1,9.2,10.8
A2,A2,6,24
A3,A3,8,42
A4,A4,6.6,63.4
A5,A5,7.6,62.4
A6,A6,5.7,64.3
A7,A7,6.2,63.8
A8,A8,5.5,64.5
A9,A9,10.3,59.7
A10,A10,5.8,64.2
A11,A11,7.1,62.9
A12,A12,5.8,64.2
B01,B01,4.8,65.2
B02,B02,4.3,75.7
B03,B03,4.5,75.5
B04,B04,4.1,65.9
B05,B05,8,62
B06,B06,4.6,85.4
B07,B07,5.9,64.1
B08,B08,4.4,65.6
B09,B09,7,63
B10,B10,4.8,65.2
B11,B11,4.3,65.7
B12,B12,4.5,75.5
C1,C1,10.4,39.6
C2,C2,9.8,60.2
C3,C3,5.9,64.1
C4,C4,6.6,63.4
C5,C5,5.6,64.4
C6,C6,9,31
C7,C7,4.6,65.4
C8,C8,4.6,65.4
C9,C9,5.6,64.4
C10,C10,6.5,63.5
C11,C11,4.9,65.1
C12,C12,4.8,65.2
D1,D1,7.6,62.4
D2,D2,7.2,62.8
D3,D3,4.4,75.6
D4,D4,4.4,85.6
D5,D5,4.1,65.9
D6,D6,4.5,65.5
D7,D7,4.4,65.6
D8,D8,4.3,65.7
D9,D9,4.6,85.4
D10,D10,4.4,65.6
D11,D11,4.5,75.5
D12,D12,5.5,64.5
E1,E1,6.9,63.1
E2,E2,5.3,64.7
E3,E3,4.8,65.2
E4,E4,5.4,64.6
E5,E5,4.7,65.3
E6,E6,7.5,62.5
E7,E7,4.8,65.2
E8,E8,4.8,65.2
E9,E9,4.7,65.3
E10,E10,4.9,65.1
E11,E11,4.5,65.5
E12,E12,4.9,65.1
F1,F1,5.2,64.8
F2,F2,7,63
F3,F3,7.4,62.6
F4,F4,6.8,63.2
F5,F5,4.8,65.2
F6,F6,5.5,64.5
F7,F7,7,63
F8,F8,8.3,61.7
F9,F9,5.2,64.8
F10,F10,5.1,64.9
F11,F11,5.8,64.2
F12,F12,12,0
G1,G1,5.3,64.7
G2,G2,11.8,58.2
G3,G3,4.9,65.1
G4,G4,4.3,65.7
G5,G5,4.7,65.3
G6,G6,9.7,40.3
G7,G7,6.5,63.5
G8,G8,6.1,63.9
G9,G9,4.4,65.6
G10,G10,4.2,65.8
G11,G11,4.9,65.1
G12,G12,5.7,64.3
H1,H1,11.1,58.9
H2,H2,8.1,61.9
H3,H3,8.9,61.1
H4,H4,5.9,64.1
H5,H5,5.5,64.5
H6,H6,5.7,64.3
H7,H7,5.1,64.9
H8,H8,7.8,62.2
H9,H9,8.3,61.7
H10,H10,8.4,21.6
H11,H11,6.2,63.8
H12,H12,8.6,61.4
