Tag,Genotype,Nutrients,Disease,Available
205,FM9,NH4,Pathogen,Experiment
220,FM9,NH4,Placebo,Experiment
226,FM9,NH4,Placebo,Experiment
231,FM6,NH4,Placebo,Experiment
247,FM6,NH4,Pathogen,Experiment
253,FM6,NH4,Pathogen,Experiment
262,FM14,NH4,Placebo,Experiment
289,FM14,NH4,Pathogen,Experiment
291,FM14,NH4,Pathogen,Experiment
A001,Kelsey-1,NH4,Pathogen,Experiment
A007,Kelsey-1,NH4,Placebo,Experiment
A009,Kelsey-1,NH4,Placebo,Experiment
A019,Cooper-9,NH4,Placebo,Experiment
A022,Cooper-9,NH4,Pathogen,Experiment
A024,Cooper-9,NH4,Pathogen,Experiment
A048,Acerv2,NH4,Placebo,Experiment
A051,Acerv2,NH4,Placebo,Experiment
A061,Acerv2,NH4,Pathogen,Experiment
A067,U44,NH4,Pathogen,Experiment
A075,Elkhorn,NH4,Placebo,Experiment
A077,Elkhorn,NH4,Placebo,Experiment
A084,Elkhorn,NH4,Pathogen,Experiment
A105,U44,NH4,Placebo,Experiment
A116,U41,NH4,Pathogen,Experiment
A127,U44,NH4,Placebo,Experiment
A152,K2,NH4,Pathogen,Experiment
A158,K2,NH4,Pathogen,Experiment
A159,K2,NH4,Placebo,Experiment
A184,FM19,NH4,Pathogen,Experiment
A192,FM19,NH4,Placebo,Experiment
A196,FM19,NH4,Placebo,Experiment
211,FM9,NH4,Placebo,Experiment
214,FM9,NH4,Placebo,Experiment
222,FM9,NH4,Pathogen,Experiment
237,FM6,NH4,Pathogen,Experiment
238,FM6,NH4,Pathogen,Experiment
239,FM6,NH4,Placebo,Experiment
270,FM14,NH4,Pathogen,Experiment
282,FM14,NH4,Placebo,Experiment
296,FM14,NH4,Pathogen,Experiment
A010,Kelsey-1,NH4,Placebo,Experiment
A026,Cooper-9,NH4,Placebo,Experiment
A029,Cooper-9,NH4,Pathogen,Experiment
A038,Cooper-9,NH4,Pathogen,Experiment
A041,Acerv2,NH4,Pathogen,Experiment
A052,Acerv2,NH4,Placebo,Experiment
A060,Acerv2,NH4,Placebo,Experiment
A072,Elkhorn,NH4,Placebo,Experiment
A078,Elkhorn,NH4,Pathogen,Experiment
A083,Elkhorn,NH4,Placebo,Experiment
A097,Kelsey-1,NH4,Pathogen,Experiment
A101,Kelsey-1,NH4,Placebo,Experiment
