Initial sample ID,Tag,SampleID,SampleDate,Time,Genotype,Nutrients ,Diseased,Combo,Tank_N,Tank_D1,Tank_D2,Type,Notes,Archive box,Sequence?,PairN,RNAPlate,SamplePlate,well,Extraction date
18,A016,N18_A016,2020-10-30,,Cooper-9,Ambient,Pathogen,Ambient_Pathogen,6,1,,Razor,,2,OnlyNutrients,,1,1,A1,2021-02-04
19,A053,N19_A053,2020-10-30,,Acerv2,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,OnlyNutrients,,1,2,B1,2021-02-04
20,A088,N20_A088,2020-10-30,,Elkhorn,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,OnlyNutrients,,1,3,C1,2021-02-04
21,A095,N21_A095,2020-10-30,,Kelsey-1,Ambient,Pathogen,Ambient_Pathogen,5,1,,Razor,,2,OnlyNutrients,,1,4,D1,2021-02-04
22,A121,N22_A121,2020-10-30,,U44,Ambient,Pathogen,Ambient_Pathogen,5,1,,Razor,,2,OnlyNutrients,,1,5,E1,2021-02-04
23,A166,N23_A166,2020-10-30,,K2,Ambient,Pathogen,Ambient_Pathogen,5,1,,Razor,,2,OnlyNutrients,,1,6,F1,2021-02-04
24,A182,N24_A182,2020-10-30,,FM19,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,OnlyNutrients,,1,7,G1,2021-02-04
25,208,N25_208,2020-10-30,,FM9,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,OnlyNutrients,,1,8,H1,2021-02-04
26,243,N26_243,2020-10-30,,FM6,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,OnlyNutrients,,1,9,A2,2021-02-04
27,283,N27_283,2020-10-30,,FM14,Ambient,Pathogen,Ambient_Pathogen,1,1,,Razor,,2,OnlyNutrients,,1,10,B2,2021-02-04
28,A027,N28_A027,2020-10-30,,Cooper-9,NH4,Pathogen,NH4_Pathogen,4,4,,Razor,,2,OnlyNutrients,,1,11,C2,2021-02-04
29,A041,N29_A041,2020-10-30,,Acerv2,NH4,Pathogen,NH4_Pathogen,8,4,,Razor,,2,OnlyNutrients,,1,12,D2,2021-02-04
30,A089,N30_A089,2020-10-30,,Elkhorn,NH4,Pathogen,NH4_Pathogen,4,4,,Razor,,2,OnlyNutrients,,1,13,E2,2021-02-04
31,A097,N31_A097,2020-10-30,,Kelsey-1,NH4,Pathogen,NH4_Pathogen,8,4,,Razor,,2,OnlyNutrients,,1,14,F2,2021-02-04
32,A102,N32_A102,2020-10-30,,U44,NH4,Pathogen,NH4_Pathogen,4,4,,Razor,,2,OnlyNutrients,,1,15,G2,2021-02-04
33,A163,N33_A163,2020-10-30,,K2,NH4,Pathogen,NH4_Pathogen,4,4,,Razor,,2,OnlyNutrients,,1,16,H2,2021-02-04
34,A183,N34_A183,2020-10-30,,FM19,NH4,Pathogen,NH4_Pathogen,8,4,,Razor,,2,OnlyNutrients,,1,17,A3,2021-02-04
35,222,N35_222,2020-10-30,,FM9,NH4,Pathogen,NH4_Pathogen,8,4,,Razor,,2,OnlyNutrients,,1,18,B3,2021-02-04
36,238,N36_238,2020-10-30,,FM6,NH4,Pathogen,NH4_Pathogen,8,4,,Razor,,2,OnlyNutrients,,1,19,C3,2021-02-04
37,285,N37_285,2020-10-30,,FM14,NH4,Pathogen,NH4_Pathogen,4,4,,Razor,,2,OnlyNutrients,,1,20,D3,2021-02-04
38,A015,N38_A015,2020-10-30,,Kelsey-1,Ambient,Placebo,Ambient_Placebo,5,5,,Razor,,2,OnlyNutrients,,1,21,E3,2021-02-04
39,A033,N39_A033,2020-10-30,,Cooper-9,Ambient,Placebo,Ambient_Placebo,1,5,,Razor,,2,OnlyNutrients,,1,22,F3,2021-02-04
40,A055,N40_A055,2020-10-30,,Acerv2,Ambient,Placebo,Ambient_Placebo,1,5,,Razor,,2,OnlyNutrients,,1,23,G3,2021-02-04
41,A109,N41_A109,2020-10-30,,U44,Ambient,Placebo,Ambient_Placebo,5,5,,Razor,,2,OnlyNutrients,,1,24,H3,2021-02-04
42,A154,N42_A154,2020-10-30,,K2,Ambient,Placebo,Ambient_Placebo,5,5,,Razor,,2,OnlyNutrients,,1,25,A4,2021-02-04
43,A189,N43_A189,2020-10-30,,FM19,Ambient,Placebo,Ambient_Placebo,5,5,,Razor,,2,OnlyNutrients,,1,26,B4,2021-02-04
44,227,N44_227,2020-10-30,,FM9,Ambient,Placebo,Ambient_Placebo,5,5,,Razor,,2,OnlyNutrients,,1,27,C4,2021-02-04
45,245,N45_245,2020-10-30,,FM6,Ambient,Placebo,Ambient_Placebo,1,5,,Razor,,2,OnlyNutrients,,1,28,D4,2021-02-04
46,279,N46_279,2020-10-30,,FM14,Ambient,Placebo,Ambient_Placebo,1,5,,Razor,,2,OnlyNutrients,,1,29,E4,2021-02-04
47,471,N47_471,2020-10-30,,Elkhorn,Ambient,Placebo,Ambient_Placebo,1,5,,Razor,,2,OnlyNutrients,,1,30,F4,2021-02-04
48,A013,N48_A013,2020-10-30,,Kelsey-1,Ambient,Placebo,Ambient_Placebo,2,6,,Razor,,2,OnlyNutrients,,1,31,G4,2021-02-04
49,A020,N49_A020,2020-10-30,,Cooper-9,Ambient,Placebo,Ambient_Placebo,2,6,,Razor,,2,OnlyNutrients,,1,32,H4,2021-02-04
50,A043,N50_A043,2020-10-30,,Acerv2,Ambient,Placebo,Ambient_Placebo,2,6,,Razor,,2,OnlyNutrients,,1,33,A5,2021-02-04
51,A079,N51_A079,2020-10-30,,Elkhorn,Ambient,Placebo,Ambient_Placebo,2,6,,Razor,,2,OnlyNutrients,,1,34,B5,2021-02-04
52,A122,N52_A122,2020-10-30,,U44,Ambient,Placebo,Ambient_Placebo,6,6,,Razor,,2,OnlyNutrients,,1,35,C5,2021-02-04
53,A173,N53_A173,2020-10-30,,K2,Ambient,Placebo,Ambient_Placebo,6,6,,Razor,,2,OnlyNutrients,,1,36,D5,2021-02-04
54,A178,N54_A178,2020-10-30,,FM19,Ambient,Placebo,Ambient_Placebo,6,6,,Razor,,2,OnlyNutrients,,1,37,E5,2021-02-04
55,207,N55_207,2020-10-30,,FM9,Ambient,Placebo,Ambient_Placebo,2,6,,Razor,,2,OnlyNutrients,,1,38,F5,2021-02-04
56,244,N56_244,2020-10-30,,FM6,Ambient,Placebo,Ambient_Placebo,6,6,,Razor,,2,OnlyNutrients,,1,39,G5,2021-02-04
57,263,N57_263,2020-10-30,,FM14,Ambient,Placebo,Ambient_Placebo,2,6,,Razor,,2,OnlyNutrients,,1,40,H5,2021-02-04
58,A014,N58_A014,2020-10-30,,Kelsey-1,NH4,Placebo,NH4_Placebo,3,7,,Razor,,2,OnlyNutrients,,1,41,A6,2021-02-04
65,220,N65_220,2020-10-30,,FM9,NH4,Placebo,NH4_Placebo,7,7,,Razor,,2,OnlyNutrients,,1,48,B6,2021-02-04
60,A056,N60_A056,2020-10-30,,Acerv2,NH4,Placebo,NH4_Placebo,3,7,,Razor,,2,OnlyNutrients,,1,43,C6,2021-02-04
61,A077,N61_A077,2020-10-30,,Elkhorn,NH4,Placebo,NH4_Placebo,7,7,,Razor,,2,OnlyNutrients,,1,44,D6,2021-02-04
62,A127,N62_A127,2020-10-30,,U44,NH4,Placebo,NH4_Placebo,7,7,,Razor,,2,OnlyNutrients,,1,45,E6,2021-02-04
63,A159,N63_A159,2020-10-30,,K2,NH4,Placebo,NH4_Placebo,7,7,,Razor,,2,OnlyNutrients,,1,46,F6,2021-02-04
64,A192,N64_A192,2020-10-30,,FM19,NH4,Placebo,NH4_Placebo,7,7,,Razor,,2,OnlyNutrients,,1,47,G6,2021-02-04
59,A018,N59_A018,2020-10-30,,Cooper-9,NH4,Placebo,NH4_Placebo,3,7,,Razor,,2,OnlyNutrients,,1,42,H6,2021-02-04
66,254,N66_254,2020-10-30,,FM6,NH4,Placebo,NH4_Placebo,3,7,,Razor,,2,OnlyNutrients,,1,49,A7,2021-02-04
