Tag,Genotype,Nutrients,Disease,Available,A_Tank,Blast_Tank
201,FM9,NH4,Pathogen,Experiment,3,3
202,FM9,NH4,Pathogen,Experiment,3,3
204,FM9,NH4,Placebo,Experiment,4,8
205,FM9,NH4,Pathogen,Experiment,7,3
207,FM9,Ambient,Placebo,Experiment,2,6
208,FM9,Ambient,Pathogen,Experiment,1,1
209,FM9,Ambient,Placebo,Experiment,2,6
211,FM9,NH4,Placebo,Experiment,8,8
214,FM9,NH4,Placebo,Experiment,8,8
215,FM9,NH4,Placebo,Experiment,3,7
216,FM9,NH4,Pathogen,Experiment,4,4
217,FM9,Ambient,Pathogen,Experiment,6,2
218,FM9,Ambient,Placebo,Experiment,1,5
220,FM9,NH4,Placebo,Experiment,7,7
221,FM9,Ambient,Placebo,Experiment,6,6
222,FM9,NH4,Pathogen,Experiment,8,4
224,FM9,Ambient,Pathogen,Experiment,6,2
225,FM9,Ambient,Pathogen,Experiment,2,2
226,FM9,NH4,Placebo,Experiment,7,7
227,FM9,Ambient,Placebo,Experiment,5,5
228,FM9,Ambient,Pathogen,Experiment,5,1
230,FM6,Ambient,Pathogen,Experiment,1,1
231,FM6,NH4,Placebo,Experiment,7,7
232,FM6,NH4,Pathogen,Experiment,3,3
234,FM6,Ambient,Pathogen,Experiment,2,2
235,FM6,NH4,Pathogen,Experiment,4,4
237,FM6,NH4,Pathogen,Experiment,8,4
238,FM6,NH4,Pathogen,Experiment,8,4
239,FM6,NH4,Placebo,Experiment,8,8
241,FM6,Ambient,Pathogen,Experiment,6,2
242,FM6,Ambient,Pathogen,Experiment,2,2
243,FM6,Ambient,Pathogen,Experiment,1,1
244,FM6,Ambient,Placebo,Experiment,6,6
245,FM6,Ambient,Placebo,Experiment,1,5
247,FM6,NH4,Pathogen,Experiment,7,3
250,FM6,Ambient,Placebo,Experiment,5,5
251,FM6,Ambient,Placebo,Experiment,6,6
252,FM6,Ambient,Placebo,Experiment,5,5
253,FM6,NH4,Pathogen,Experiment,7,3
254,FM6,NH4,Placebo,Experiment,3,7
256,FM6,Ambient,Pathogen,Experiment,5,1
258,FM6,NH4,Placebo,Experiment,3,7
260,FM6,Ambient,Placebo,Experiment,2,6
261,FM6,NH4,Placebo,Experiment,4,8
262,FM14,NH4,Placebo,Experiment,7,7
263,FM14,Ambient,Placebo,Experiment,2,6
264,FM14,Ambient,Pathogen,Experiment,5,1
265,FM14,NH4,Pathogen,Experiment,3,3
266,FM6,NH4,Placebo,Experiment,4,8
268,FM14,Ambient,Placebo,Experiment,5,5
269,FM14,NH4,Placebo,Experiment,3,7
270,FM14,NH4,Pathogen,Experiment,8,4
272,FM14,NH4,Placebo,Experiment,4,8
273,FM14,Ambient,Pathogen,Experiment,2,2
274,FM14,Ambient,Pathogen,Experiment,6,2
275,FM14,Ambient,Pathogen,Experiment,2,2
276,FM14,Ambient,Placebo,Experiment,5,5
277,FM14,Ambient,Placebo,Experiment,6,6
279,FM14,Ambient,Placebo,Experiment,1,5
281,FM14,Ambient,Pathogen,Experiment,1,1
282,FM14,NH4,Placebo,Experiment,8,8
283,FM14,Ambient,Pathogen,Experiment,1,1
284,FM14,NH4,Placebo,Experiment,4,8
285,FM14,NH4,Pathogen,Experiment,4,4
288,FM14,Ambient,Placebo,Experiment,6,6
289,FM14,NH4,Pathogen,Experiment,7,3
291,FM14,NH4,Pathogen,Experiment,7,3
293,FM14,NH4,Placebo,Experiment,3,7
296,FM14,NH4,Pathogen,Experiment,8,4
334,FM9,Ambient,Placebo,Experiment,1,5
358,FM19,Ambient,Pathogen,Experiment,5,1
410,K2,Ambient,Placebo,Experiment,6,6
469,Acerv2,Ambient,Pathogen,Experiment,2,2
471,Elkhorn,Ambient,Placebo,Experiment,1,5
A001,Kelsey-1,NH4,Pathogen,Experiment,7,3
A002,Kelsey-1,NH4,Pathogen,Experiment,4,4
A003,Kelsey-1,Ambient,Pathogen,Experiment,6,2
A004,Kelsey-1,Ambient,Pathogen,Experiment,5,1
A005,Kelsey-1,Ambient,Pathogen,Experiment,1,1
A006,U44,Ambient,Placebo,Experiment,2,6
A007,Kelsey-1,NH4,Placebo,Experiment,7,7
A008,Kelsey-1,NH4,Placebo,Experiment,4,8
A009,Kelsey-1,NH4,Placebo,Experiment,7,7
A010,Kelsey-1,NH4,Placebo,Experiment,8,8
A011,U44,NH4,Pathogen,Experiment,3,3
A012,Kelsey-1,Ambient,Placebo,Experiment,1,5
A013,Kelsey-1,Ambient,Placebo,Experiment,2,6
A014,Kelsey-1,NH4,Placebo,Experiment,3,7
A015,Kelsey-1,Ambient,Placebo,Experiment,5,5
A016,Cooper-9,Ambient,Pathogen,Experiment,6,1
A017,Cooper-9,Ambient,Placebo,Experiment,5,5
A018,Cooper-9,NH4,Placebo,Experiment,3,7
A019,Cooper-9,NH4,Placebo,Experiment,7,7
A020,Cooper-9,Ambient,Placebo,Experiment,6,6
A021,Cooper-9,NH4,Pathogen,Experiment,3,3
A022,Cooper-9,NH4,Pathogen,Experiment,7,3
A023,Cooper-9,Ambient,Pathogen,Experiment,2,2
A024,Cooper-9,NH4,Pathogen,Experiment,7,3
A025,Cooper-9,Ambient,Pathogen,Experiment,2,2
A027,Cooper-9,NH4,Pathogen,Experiment,4,4
A028,Cooper-9,Ambient,Placebo,Experiment,5,5
